codigo;categoria;marca;nuevo;descuento;producto;precio;inventario
8,80E+12;1;16;0;0;ACEITE KIXX 10W40 4T ULTRA HA BICICLRTAS;27000;132
900HERO;1;9;0;0;ACEITE HERO 10W30 4T 900L;24000;339
90793AV20300;1;5;0;0;ACEITE YAMALUBE 2T LITRO YAMAHA;34000;22
90793AV41800;1;10;0;0;ACEITE YAMALUBE 20W50 MINERAL YAMAHA;34000;571
90793AV50100;1;3;0;0;ACEITE YAMALUBE SEMISINTETICO10W40 YAMAHA;46000;109
90793AV50300;1;8;0;0;ACEITE YAMALUBE SCOOTER 10W40 YAMAHA;34000;27
90793AV50400;1;5;0;0;ACEITE YAMALUBE 10W40 FULL SINTETICO YAMAHA;64000;6
99CMX-21030-P95;1;11;0;0;ACEITE SUZUKI 10W40  R9000 SINTETICO ECSTAR;57000;2
99CMX-21050-P65;1;12;0;0;ACEITE SUZUKI 20W50 R5000 ECSTAR;39000;293
IPO10101;1;8;0;0;ACEITE IPONE 20W50 M4 KOMER;38000;11
RS1A205419;1;18;0;0;ACEITE BAJAJ 20W50 5000 KM 4T 1.200L TAPA AZUL UMA;35000;384
RS1A207458;1;30;0;0;ACEITE BAJAJ 20W50 5000 1000 KM 4T TAPA GRIS 1L UMA DTS-I;28000;407
RS1A210831;1;14;0;0;ACEITE BAJAJ 10W30 5000KM 4T 1L TIQUETA ROJA GRUPO UMA;26000;50
RS1A222048;1;6;0;0;ACEITE BAJAJ 10W50  5000KM SINTETICO UMA;38000;26
RS1A226051;1;15;0;0;ACEITE BAJAJ 20W50  5000KM MOTOCARGA VERDE UMA;28000;40
TR600385S-CJA;1;3;0;0;ACEITE TVS 20W50 DURALIFE 4T AUTECO;22000;24
48731;4;15;0;0;PIÑON ATAQUE PULSAR 135/PLATINO 125 15T S&K ATMOPEL;8000;194
304775;4;13;0;0;KIT PIÑONES V 80 38T/14T HA BICICLETAS;28000;2
7,71E+12;4;26;0;0;KIT PIÑONES GN 125 14T-42 KONTROL RP AKT;37000;4
KC168001;4;28;0;0;KIT ARRASTRE XTZ 125 4H 14T-50T DORADA ORING CASSARELLA;159000;16
KC168428;4;25;0;0;KIT ARRASTRE AKT CR5 180 13T-41T 520HX110 ORING DORADA CASSARELLA;215000;1
KC169597;4;17;0;0;KIT ARRASTRE AKT TTR 180 13T-39T 520X110 ORING DORADA CASSARELLA;189000;2
KC169760;4;7;0;0;KIT ARRASTRE PULSAR 160 NS 15T-45T 138LMOD 2020 CASSARELLA INTEGRANDO;119000;1
KC169800;4;23;0;0;KIT ARRASTRE KTM DUKE 250 15T-45T 120L CASSARELLA;249000;1
KC172404;4;18;0;0;KIT ARRASTRE BENELLI 180S 13T-46T 132 ORING DORADA CASSARELLA;199000;7
KC172865;4;29;0;0;KIT ARRASTRE TVS APACHE 160 4V 13T-45T 138L DORADA CASSARELLA;145000;1
KC174631;4;19;0;0;KIT ARRASTRE PLATINO 125 14T-42T CASSARELLA;119000;1
MNF167193;4;3;0;0;CADENA 428HX132 ENCAUCHETADA DORADA 167193 CASSARELLA;129000;8
MNF169420;4;25;0;0;CANDADO 428HOR ENCAUCHETADO DORADO CASSARELLA;2500;3
MNF169421;4;15;0;0;CANDADO 520H DORADO ORING CASSARELLA;3000;339
MNF49090;4;20;0;0;CADENA 520HX120 OR DORADA ENCAUCHETADA CASSARELLA;179000;2
44687;5;9;0;0;LLANTA 80X100X14 TT PIS MICHELIN PILOT STREE S&K  XXX718;110000;1
50292;5;8;0;0;LLANTA 300X17 TT CROSS OHERO S&K  XXX35;115000;1
53768;5;17;0;0;LLANTA 275X17 TT CROSS SELLOMATIC OHERO S&K  XXX412;105000;5
75850;5;16;0;0;LLANTA 110X70X13 TL PS OHERO S&K  XXX98;119000;1
10008696;5;19;0;0;LLANTA 130X70X12 TL LAG IRC MOBILITY AUTECO  XXX449;101000;1
10024079;5;24;0;0;LLANTA 70X100X19 TT CROSS IRC  XXX260;90000;1
10086592;5;13;0;0;LLANTA 275X17 TT PIS AUTECO MOBILITY  XXX193;95000;9
10086595;5;11;0;0;LLANTA 100X80X17 TL PIS TVS TIRES AUTECO  XXX295;135000;6
10086596;5;26;0;0;LLANTA 110X80X17 TL PIS TVS TIRES AUTECO  XXX21;169000;10
10086597;5;1;0;0;LLANTA 275X17 TL PIS ORIGINAL AUTECO MOBILITY  XXX79;105000;1
10086603;5;20;0;0;LLANTA 90X90X12 TL PIS AUTECO MOBILITY  XXX97;99000;6
10086756;5;1;0;0;LLANTA 100X90X17 TL PIS TVS AUTECO  XXX377;169000;4
10086757;5;30;0;0;LLANTA 120X80X17 TL PIS TVS CR AUTECO MOBILITY XXX9;189000;1
10086759;5;19;0;0;LLANTA 70X100X17 TL PIS AUTECO MOBILITY  XXX353;88000;2
10086760;5;29;0;0;LLANTA 100X80X12 TL PIS AUTECO MOBILITY  XXX96;109000;1
1,01E+15;5;20;0;0;LLANTA 110X80X12 TL PIS AUTECO MOBILITY  XXX100;139000;2
10089449;5;27;0;0;LLANTA 130X70X17 TL PIS TVS AUTECO MOBILITY  XXX283;199000;2
101171307;5;23;0;0;LLANTA 100X80X17 TL LAG RINOVA TIRES  XXX305;145000;4
102173600;5;23;0;0;LLANTA 140X70X17 TL PIS SPORT DEMON PIRELLI MERLIN XXX15;398000;3
102181200;5;13;0;0;LLANTA 90X90X18 TL PIS SUPER CITY PIRELLI  XXX162;215000;3
103173400;5;17;0;0;LLANTA 140X60X17 TL PIS DIABLO ROSSO II PIRELLI  XXX400;450000;2
104161300;5;4;0;0;LLANTA 100X80X17 TL LAG RUBER MERLIN  XXX62;145000;3
104173400;5;12;0;0;LLANTA 140X60X17 TL VEE RUBBER  XXX401;195000;3
11000219;5;26;0;0;LLANTA 100X80X17 TL PIS QUUEN MOBILITY  XXX201;125000;2
11000225;5;16;0;0;LLANTA 100X90X17 TL PIS MRF ZAPPER AUTECO MOBILITY  XXX430;189000;2
11006581;5;11;0;0;LLANTA 275X17 TT PIS AUTECO MOBILITY  XXX596;75000;2
11007854;5;9;0;0;LLANTA 120X70X12 TL PIS QUEEN AUTECO MOBILITY  XXX115;119000;4
11010704;5;10;0;0;LLANTA 100X90X17 TL PIS MRF AUTECO MOBILITY  XXX496;160000;1
11010874;5;6;0;0;LLANTA 120X80X17 TL PIS MRF ZRC AUTECO MOBILITY  XXX254;239000;1
11015723;5;1;0;0;LLANTA 100X80X17 TL PIS QUEEN AUTECO MOBILITY  XXX686;125000;8
11016779;5;9;0;0;LLANTA 130x90x15 TL PIS IRC AUTECO MOBILITY;285000;2
11030653;5;28;0;0;LLANTA 130X70X12 TL PIS RIDER AUTECO MOBILITY  XXX720;129000;2
11031987;5;14;0;0;LLANTA 100X80X17 TL PIS QUEEN AUTECO MOBILITY  XXX312;133000;1
11032026;5;11;0;0;LLANTA 110X90X16 TT CROSS QUEEN AUTECO MOBILITY  XXX370;102000;2
11032083;5;23;0;0;LLANTA 90X90X12 TL PIS QUEEN  AUTECO MOBILITY  XXX470;99000;5
11032086;5;27;0;0;LLANTA 90X90X10 TL PIS QUEEN AUTECO MOBILITY  XXX699;98000;7
11032126;5;28;0;0;LLANTA 90X90X18 TL PIS MAXIONE AUTECO MOBILITY  XXX339;130000;4
11033299;5;15;0;0;LLANTA 275X17 TL PIS MAXIONE AUTECO MOBILITY  XXX237;98000;1
11033303;5;19;0;0;LLANTA 130X70X17 TL PIS MAXIONE AUTECO MOBILITY  XXX504;198000;1
11034840;5;27;0;0;LLANTA 400X8 TT CALLE AUTECO MOBILITY  XXX395;98000;9
